"Confirmation request has been sent.","Мы выслали Вам письмо-подтверждение. Пожалуйста, проверьте Ваш почтовый ящик."
"Enter your e-mail:","Ваш почтовый адрес (Email)"
"Please enter a valid email address.","Написанная Вами строка не является почтовым адресом."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Пожалуйста, предварительно <a href=""%s"">зарегистрируйтесь</a>."
"Subscribe to the Infant mailing list to receive updates on new arrivals, special offers and other discount information.","Подпишитесь на нашу рассылку, чтобы быть в курсе наших распродаж."
"Thank you for your subscription.","Спасибо за подписку!"
"There was a problem with the subscription.","В процессе подписки произошёл неизвестный сбой."
"There was a problem with the subscription: %s","В процессе подписки произошёл сбой: «%s»."
"This email address is already assigned to another user.","Указанный Вами почтовый адрес уже присутствует в нашем списке подписчиков. Вероятно, Вы уже подписывались ранее?"
