"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","Первый-класс"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Бесплатная доставка"
"Free Shipping with Minimum Order Amount","Бесплатная доставка с минимальной суммой заказа"
"Gateway URL","URL шлюза"
"Gateway XML URL","URL XML шлюза"
"Ground","Наземный"
"Ground Commercial","Наземный коммерческий"
"Ground Residential","Ground Residential"
"Handling Applied","Handling Applied"
"Handling Fee","Наценка"
"Home Delivery","Доставка на дом"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s.","Invalid DHL XML code for type %s: %s."
"Invalid DHL XML code type: %s.","Invalid DHL XML code type: %s."
"Invalid FedEx XML code for type %s: %s","Неправильный fedex xml тип кода %s: %s"
"Invalid FedEx XML code type: %s","Неправильный fedex xml тип кода: %s"
"Invalid UPS CGI code for type %s: %s","Неправильный UPS CGI тип кода %s: %s"
"Invalid UPS CGI code type: %s","Неправильный UPS CGI тип кода: %s"
"Kilograms","Килограммы"
"Large","Крупный"
"Letter","Письмо"
"Library","Библиотека"
"Live","Live"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Media Mail","Media Mail"
"Minimum Order Amount for Free Shipping","Минимальная стоимость заказа для бесплатной доставки"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Mode","Режим"
"Next Afternoon","На следующий день"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","нет"
"Non-rectangular","Не прямоугольные"
"Order","Заказ"
"Origin of the Shipment","Origin of the Shipment"
"Oversize","Негабарит (превышает размер)"
"Package","Пакет"
"Package Description","Описание пакета"
"Packaging","Упаковка"
"Parcel","Посылка"
"Parcel Post","Почтовая посылка"
"Password","Пароль"
"Pickup Method","Pickup Method"
"Please enter the package weight","Пожалуйста, введите вес пакета"
"Please make sure to use only digits here. No dashes are allowed.","Пожалуйста, используйте только цифры. Тире не разрешены."
"Pounds","Фунты"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Получатель"
