"Add to Cart","Купить"
"Available deals","Актуальные"
"Bought","Уже продано"
"Configuration","Настройки"
"Countdown to","Завершится через"
"Day","д."
"Deals","Распродажа"
"Discount","Скидка"
"Expired","Завершена"
"Hours","ч."
"Mins","м."
"New","Новинка"
"Pass deals","Завершённые"
"Sale","Скидка"
"Secs","с."
"There are no products matching the selection.","ничего не найдено :-("
"Time Left To Buy","Завершится через"
"Today deals","Сегодня"
"You save","Выгода"
"Ves Deals","Распродажа"
