"Add to Cart","Купить"
"Add to Compare","Сравнить"
"Add to Wishlist","Запомнить"
"Continue","Продолжить покупки"
"Go to cart page","Открыть корзину"
"Product was successfully added to your shopping cart.","Товар добавлен в Вашу корзину."
"Qty","Количество"
"Qty:","кол-во:"
"You've just added this product to the cart:","Товар добавлен в корзину:"

