"To enable automatic scrolling of the sliders, specify time (in milliseconds) between slide transitions. Leave empty to disable automatic scrolling. Note that 1000 miliseconds = 1 second.","При пустом значении карусель миниатюр не будет прокручиваться."
"Top","сверху"
"Use Cloud Zoom","Использовать лупу?"
"Use Lightbox","Предоставлять возможность просмотра полноразмерного изображения во всплывающем окне?"
"Use Slider","Показывать в виде карусели?"
"Width of the enlarged image. This field refers to the actual resolution of the image after zooming.",""
"Width of the main product image. If width is not specified, default width will be used (363 pixels).<br/><strong>Important:</strong><br/>Adjust the size of the image to the width of the image column on product page (under <em>System > Configuration > Theme Settings > Product Page > Width of Columns</em>).","Если Вы меняете значение этой опции, то настройте соответствующе значение опции «Система» → «Настройки» → «Российская сборка» → «ULTIMO или FORTIS» → «Основное» → «Страница товара» → «Ширина колонок»."
"Width of the zoom area. This field will be ignored if <strong>Position</strong> is set to ""Inside"". Leave empty to use default.",""
"Zoom","увеличить"
"Zoom Area Height","Высота (в пикселях) прямоугольной области указателя лупы"
"Zoom Area Width","Ширина (в пикселях) прямоугольной области указателя лупы"
